   DATE       TIME    MULTI   C0%   CKMOD  BAT_mW  TEMP   NVIDIA GPU     VID   POWER
2026-07-16  22:57:28  53.22    6.4  100.0       0   79    1605    51   1.4282   52.4
2026-07-16  22:57:29  52.71    5.6  100.0       0   80    1605    51   1.3585   45.6
2026-07-16  22:57:30  52.79    5.6  100.0       0   77    1605    51   1.4772   49.5
2026-07-16  22:57:31  49.24    5.3  100.0       0   77    1605    51   1.4305   42.9
2026-07-16  22:57:32  50.18    7.9  100.0       0   77    1605    51   1.4357   49.1
2026-07-16  22:57:33  46.79    4.9  100.0       0   72    1605    51   1.3423   30.6
2026-07-16  22:57:34  39.37    7.0  100.0       0   75    1605    51   1.4413   28.8
2026-07-16  22:57:35  46.02    7.5  100.0       0   78    1605    51   1.4160   33.2
2026-07-16  22:57:36  47.51   15.0  100.0       0   78    1605    51   1.4093   45.7
2026-07-16  22:57:37  44.08   16.3  100.0       0   73    1605    51   1.4489   39.8
2026-07-16  22:57:38  53.87    7.3  100.0       0   87    1605    52   1.4482   61.6
2026-07-16  22:57:39  31.84    7.5  100.0       0   66    1605    52   1.2974   28.7
2026-07-16  22:57:40  43.62    8.3  100.0       0   79    1605    52   1.4479   45.9
2026-07-16  22:57:41  46.78   10.9  100.0       0  100    1605    52   1.4095   61.8   TEMP
2026-07-16  22:57:42  50.90    4.5  100.0       0   76    1605    52   1.4193   32.8
2026-07-16  22:57:43  52.64    6.6  100.0       0   89    1605    52   1.3862   44.4
2026-07-16  22:57:44  49.96    6.1  100.0       0   79    1605    53   1.3951   41.8
2026-07-16  22:57:45  48.45    5.3  100.0       0   78    1605    53   1.4346   33.4
2026-07-16  22:57:46  50.76    4.4  100.0       0   81    1605    53   1.4316   33.7
2026-07-16  22:57:47  48.77    5.1  100.0       0   79    1605    53   1.4454   31.4
2026-07-16  22:57:48  52.05    4.2  100.0       0   76    1605    53   1.4220   31.5
2026-07-16  22:57:49  48.23    3.6  100.0       0   66    1605    53   1.4094   28.8
2026-07-16  22:57:50  37.02    3.5  100.0       0   74    1605    52   1.4335   16.6
2026-07-16  22:57:51  49.77    4.2  100.0       0   78    1605    52   1.4113   30.6
2026-07-16  22:57:52  47.20    4.9  100.0       0   70    1605    52   1.4185   29.6
